model,dataset,method,seed,gsm8k_strict,gsm8k_flex,hellaswag_acc_norm,arc_challenge_acc_norm,mmlu_acc,mmlu_pro_acc,bbh_acc,math_acc,humaneval_pass1,ifeval_strict,truthfulqa_mc1,best_step,best_val_loss,final_val_loss,completed_steps,aborted,lm_eval_json
olmo2-7b,metamathqa-10k,dora,42,0.0000,0.0000,0.2504,0.2270,,,,,,,,,,,,False,results/stage3_v2/olmo2-7b/metamathqa-10k/dora/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__metamathqa-10k__dora__seed42__adapter/results_2026-05-19T13-44-44.348723.json
olmo2-7b,metamathqa-10k,lora_vanilla,42,0.6748,0.6778,0.8239,0.5956,,,,,,,,250,0.1958,0.5219,3000,False,results/stage3_v2/olmo2-7b/metamathqa-10k/lora_vanilla/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__metamathqa-10k__lora_vanilla__seed42__adapter/results_2026-05-18T22-08-28.368763.json
olmo2-7b,metamathqa-10k,lora_vanilla,42_smoke,,,,,,,,,,,,50,0.2354,0.2354,50,False,
olmo2-7b,metamathqa-10k,relora_baseline,42,,,,,,,,,,,,250,0.1957,0.3619,3000,True,
olmo2-7b,metamathqa-10k,relora_diag_gated_S3pos,42,0.7680,0.7710,0.8494,0.6476,,,,,,,,250,0.1958,0.2061,3000,False,results/stage3_v2/olmo2-7b/metamathqa-10k/relora_diag_gated_S3pos/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__metamathqa-10k__relora_diag_gated_S3pos__seed42__adapter/results_2026-05-19T01-14-28.898778.json
olmo2-7b,metamathqa-10k,relora_random_drop,42,,,,,,,,,,,,250,0.1958,0.3247,3000,True,
olmo2-7b,tulu3-sft,dora,42,,,,,,,,,,,,,,,,False,
olmo2-7b,tulu3-sft,lora_vanilla,42,0.5906,0.5974,0.7980,0.5469,,,,,,,,250,0.8493,1.3729,3000,False,results/stage3_v2/olmo2-7b/tulu3-sft/lora_vanilla/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__tulu3-sft__lora_vanilla__seed42__adapter/results_2026-05-19T08-46-39.026614.json
olmo2-7b,tulu3-sft,relora_baseline,42,0.7680,0.7710,0.8494,0.6476,,,,,,,,250,0.8496,1.2539,3000,False,results/stage3_v2/olmo2-7b/tulu3-sft/relora_baseline/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__tulu3-sft__relora_baseline__seed42__adapter/results_2026-05-19T08-56-33.702404.json
olmo2-7b,tulu3-sft,relora_diag_gated_S3pos,42,0.7680,0.7710,0.8494,0.6476,,,,,,,,250,0.8497,0.8559,3000,False,results/stage3_v2/olmo2-7b/tulu3-sft/relora_diag_gated_S3pos/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__tulu3-sft__relora_diag_gated_S3pos__seed42__adapter/results_2026-05-19T09-00-50.124689.json
olmo2-7b,tulu3-sft,relora_random_drop,42,0.7680,0.7710,0.8494,0.6476,,,,,,,,250,0.8495,0.9653,3000,False,results/stage3_v2/olmo2-7b/tulu3-sft/relora_random_drop/seed42/lm_eval_v2/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__olmo2-7b__tulu3-sft__relora_random_drop__seed42__adapter/results_2026-05-19T09-12-55.767436.json
qwen25-7b,metamathqa-10k,adalora,42,0.7998,0.8036,0.8072,0.6374,,,,,,,,500,0.1329,0.2726,3000,False,results/stage3_v2/qwen25-7b/metamathqa-10k/adalora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__adalora__seed42__checkpoints__best/results_2026-05-16T07-51-52.600003.json
qwen25-7b,metamathqa-10k,dora,42,0.8226,0.8218,0.7996,0.6297,,,,,,,,300,0.1345,0.1526,800,False,results/stage3_v2/qwen25-7b/metamathqa-10k/dora/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__dora__seed42__checkpoints__best/results_2026-05-18T01-48-46.921663.json
qwen25-7b,metamathqa-10k,lora_vanilla,42,0.8097,0.8097,0.8010,0.6305,,,,,,,,250,0.1350,0.4421,3000,False,results/stage3_v2/qwen25-7b/metamathqa-10k/lora_vanilla/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__lora_vanilla__seed42__checkpoints__best/results_2026-05-15T16-22-54.952835.json
qwen25-7b,metamathqa-10k,relora_baseline,42,0.8067,0.8089,0.8005,0.6280,,,,,,,,250,0.1349,0.2289,3000,True,results/stage3_v2/qwen25-7b/metamathqa-10k/relora_baseline/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__relora_baseline__seed42__checkpoints__best/results_2026-05-15T16-23-48.112253.json
qwen25-7b,metamathqa-10k,relora_diag_gated_S3neg,42,0.8021,0.8014,0.8010,0.6254,,,,,,,,250,0.1350,0.2070,3000,True,results/stage3_v2/qwen25-7b/metamathqa-10k/relora_diag_gated_S3neg/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__relora_diag_gated_S3neg__seed42__checkpoints__best/results_2026-05-16T07-44-46.007054.json
qwen25-7b,metamathqa-10k,relora_diag_gated_S3pos,42,0.8082,0.8082,0.8007,0.6288,,,,,,,,250,0.1350,0.1374,3000,False,results/stage3_v2/qwen25-7b/metamathqa-10k/relora_diag_gated_S3pos/seed42/lm_eval/__mnt__cpfs__junlongke__onlinelora__lora_obd__results__stage3_v2__qwen25-7b__metamathqa-10k__relora_diag_gated_S3pos__seed42__checkpoints__best/results_2026-05-15T16-23-05.640325.json
